IPM SUMATERA BARAT;;;;;;;;;;Penanganan: Metode Cochran-Orcutt;;;;;;;Kesimpulan;;
Tahun (X);IPM (Y);b (slope);a (intercept);Y duga;Residual (e);Residual Kuadrat;Selisih Residual;Nilai DW;;p (rho);Y*;X*;b*;a*;a baru;;Metode Cochran-Orcutt;Model Awal;Y = -981,42 + 0,521X
2010;67,25;0,521783217;-981,4215734;67,36269231;-0,112692308;0,012699556;0,001460523;1,213076662;;0,393461669;;;0,495644596;-563,3036367;-928,7189415;;;Uji Autokorelasi;DW = 1,213
2011;67,81;;;67,88447552;-0,074475524;0,005546604;0,000796187;;;;41,34970276;1220,142045;;;;;;Penanganan ;Y* = -563,304 + 0,495X*
2012;68,36;;;68,40625874;-0,046258741;0,002139871;0,000796187;;;;41,67936422;1220,748584;;;;;;Model Akhir;Y = -928,719 + 0,495X
2013;68,91;;;68,92804196;-0,018041958;0,000325512;0,00515283;;;;42,01296031;1221,355122;;;;;;;
2014;69,36;;;69,44982517;-0,089825175;0,008068562;0,009646537;;;;42,24655639;1221,96166;;;;;;;
2015;69,98;;;69,97160839;0,008391608;7,04E-05;0,0520829;;;;42,68949864;1222,568199;;;;;;;
2016;70,73;;;70,49339161;0,236608392;0,055983531;0,000138844;;;;43,1955524;1223,174737;;;;;;;
2017;71,24;;;71,01517483;0,224825175;0,050546359;0,001010173;;;;43,41045615;1223,781275;;;;;;;
2018;71,73;;;71,53695804;0,193041958;0,037265198;0,019103879;;;;43,6997907;1224,387814;;;;;;;
2019;72,39;;;72,05874126;0,331258741;0,109732354;0,28279339;;;;44,16699448;1224,994352;;;;;;;
2020;72,38;;;72,58052448;-0,200524476;0,040210065;0,063394788;;;;43,89730978;1225,60089;;;;;;;
2021;72,65;;;73,10230769;-0,452307692;0,204582249;0,204582249;;;;44,1712444;1226,207429;;;;;;;
